id,trajectory
7204370526268181787,"['Hong Kong Disneyland', 'Lai King', 'Tung Chung']"
7204520074353446150,"['Nathan Rd', 'Kowloon', 'Causeway Bay', 'Wo Foo Commercial Building']"
7204567839011818757,"['SOGO', 'Victoria Peak']"
7204681492306464026,"['Lai King', 'Tung Chung', 'Ngong Ping 360', 'Lantau Island', 'Tian Tan Buddha', 'Po Lin Monastery', 'Central', 'The Peak Tram', 'Hong Kong International Airport']"
7204684179114659077,"['Central', 'Hong Kong Park']"
7204754363926138158,"['Hung Hom Pancake', 'Hung Hom', 'L & S WIGS', 'Bakehouse (Wan Chai)', 'Kai Kai Dessert']"
7205077646063963435,"['Cheung Hing Coffee Shop', ""Kam's Roast Goose"", 'Po Wah Commercial Centre', 'Victoria Harbour', 'Temple St']"
7205147831181593882,"['Hong Kong Disneyland', 'Hong Kong International Airport', 'Hong Kong-Zhuhai-Macao Bridge']"
7205503688796917018,"['Hong Kong International Airport', 'Clock Tower']"
7205624297023491354,"['Lantau Island', 'Clock Tower']"
7206302431926422811,"['Tsim Chai Kee Noodles', 'Tsim Sha Tsui', 'Sister Wah Beef Brisket']"
7206644886920023322,"['Hong Kong Disneyland', 'Tsim Sha Tsui']"
7206683886481394971,"['Tian Tan Buddha', 'Ngong Ping', 'Lantau Island', 'Victoria Peak']"
7206776715480157446,"['Chi Lin Nunnery', 'Po Lin Monastery', 'Hong Kong Park', 'Nan Lian Garden', 'Diamond Hill']"
7206977585237036314,"['Hong Kong Disneyland', 'Happy Valley Racecourse', ""Ladies' Market"", 'Wan Chai Station']"
7207555355595803947,"['Yat Lok Restaurant', 'Hop Yik Tai', 'Apliu Street Flea Market']"
7207598083897658630,"['Tian Tan Buddha', 'Hong Kong Cultural Centre', 'Tai O', 'Tung Chung', 'Lantau Island', 'Hong Kong International Airport', 'Ngong Ping 360', 'Ngong Ping', 'Po Lin Monastery', 'Tai Po', 'Victoria Park']"
7207676260301196590,"['Wan Chai', 'Stubbs Rd', 'K11 ARTMALL']"
7208336493885050138,"['Tai Po', 'Hong Kong International Airport']"
7208374335961222446,"['Temple Street Night Market', 'Tung Lung Chau', 'Monster Building', 'Choi Hung Estate', 'Kennedy Town']"
7208562576664366341,"['Hong Kong International Airport', 'Royal View Hotel', 'Victoria Peak', 'Hong Kong Disneyland']"
7208629266827808006,"['Temple St', 'Langham Place', 'Tsim Sha Tsui', 'Hong Kong International Airport']"
7208876529411984645,"['Hong Kong International Airport', 'Hong Kong Disneyland']"
7208924286780722458,"['Ap Lei Pai', 'Aberdeen']"
7208949057866288426,"['Tai Mo Shan', 'Lantau Island', ""Dragon's Back""]"
7208949782847474949,"['Victoria Peak', 'The Peak Lookout']"
7208972360815283461,"['Lantau Island', 'Ngong Ping', 'Tian Tan Buddha']"
7208988132082076933,"['Causeway Bay', 'Wo Foo Commercial Building']"
7209090145977503018,"['Mong Kok', 'Hong Kong Cultural Centre', 'AKI Hotel', 'Wan Chai']"
7209100048662121734,"['Hong Kong International Airport', 'Tsing Ma Bridge', 'Tsing Yi', 'Tsim Sha Tsui', 'Wan Chai']"
7209242112334859525,"['Ngong Ping 360', 'Observation Wheel', 'Tsing Ma Bridge', 'Lantau Island', 'Ngong Ping Village', 'Ngong Ping', 'Victoria Peak', 'Tian Tan Buddha', 'Po Lin Monastery']"
7209498368903564549,"['Ngong Ping Village', 'Lantau Island', 'Po Lin Monastery', 'Tai Po']"
7209613177569512705,"['Tsing Ma Bridge', 'Victoria Harbour']"
7209822289305619717,"['Mong Kok', 'Tsim Sha Tsui', 'Ocean Park', 'Hong Kong Disneyland', ""Prince's Building"", 'Central', 'Observation Wheel', 'Central Ferry Pier', 'Avenue Of Stars', 'The Peak Tram', 'Cheung Kong Center', 'Victoria Peak', 'The Peak Tower', 'Hong Kong International Airport']"
7209996330343632134,"['Hong Kong Disneyland', 'Hyperspace Mountain', 'Toy Story Land', 'Mystic Manor', 'Tomorrowland']"
7210033252940123398,"['Hong Kong International Airport', 'Hong Kong Disneyland', 'South Horizons', 'The Hong Kong Country Club', 'Yu Moon House', 'Lamma Island', 'The Peak Tram', 'Madame Tussauds', 'Ocean Park', 'The Grand Aquarium', 'Victoria Peak', 'Ngong Ping', 'Ngong Ping 360']"
7210064649109179654,"['iSQUARE', 'Causeway Bay']"
7210289739188948229,"['Hong Kong International Airport', 'Tsing Ma Bridge']"
7210412497680076034,"['Tsing Ma Bridge', 'Lantau Island']"
7211326130626874666,"['SOGO', 'Lantau Island']"
7211810305393937691,"['Hong Kong Disneyland', 'Victoria Harbour', 'Tian Tan Buddha']"
7212172591052737835,"['Central', 'Southorn Stadium']"
7212569316099656965,"['Mong Kok', 'Lady BoBo']"
7212717331489983790,"['The Peninsula', 'The Ritz-Carlton', 'The St. Regis']"
7212991818122743083,"['Mui Wo', 'The Hideout']"
7213026785280134402,"['Hong Kong International Airport', 'Best Western Plus Hotel', 'Central and Western District Promenade', 'Observation Wheel']"
7213367295047994650,"['Prince Edward Station', 'One Dim Sum', 'Mong Kok', 'Tsim Sha Tsui']"
7213368798903127301,"['ICHIRAN', 'The Ritz-Carlton']"
7213724646443601198,"['Apt. Coffee Wanchai', 'Bakehouse (Wan Chai)']"
7214098968823745798,"['Ramada Hong Kong Harbour View', 'North Point', 'Ramada Hong Kong Grand View', 'Western Market']"
7214309518119865627,"['Po Wah Commercial Centre', 'Prince Edward Station', ""Queen's Road""]"
7214846540777606426,"['Hong Kong International Airport', 'Tai O', 'Shang Sin Chun Tong', 'Ngong Ping 360', 'Lantau Island', 'Victoria Harbour', 'Hong Kong Disneyland']"
7215107460879650074,"['Hong Kong Disneyland', 'Hong Kong Science Museum']"
7215140986354240795,"['For Kee Restaurant', ""Mak's Noodle"", 'Harbour Kitchen']"
7215538288763899162,"['Avenue Of Stars', 'Tsim Sha Tsui', 'Nan Lian Garden', 'Ngong Ping', 'West Kowloon', 'Tai Kwun', 'Happy Valley Racecourse']"
7215541039807876353,"['Bakehouse (Wan Chai)', 'Hong Kong International Airport', 'Australia Dairy Company', 'North Point', 'Wan Chai']"
7215584496194751790,"['Violet Hill', 'Victoria Peak']"
7216320190663937307,"['Hong Kong International Airport', 'The Hong Kong Tourism Board Kowloon Visitor Centre', ""Mak's Noodle""]"
7216370556201913627,"['Victoria Harbour', 'Temple St', 'Hong Kong Disneyland']"
7216701663946689798,"['Tin Hau Temple', 'Wong Tai Sin Temple', 'Tai Po', 'Hung Hom Kwun Yum Temple']"
7217067360316853509,"['Temple Street Night Market', 'Yaumatei Tin Hau Temple']"
7217132251744701723,"['Hong Kong International Airport', 'Dorsett Wanchai', ""Kam's Roast Goose"", 'Po Wah Commercial Centre', '6 Hennessy Rd', 'Victoria Harbour', 'Ming Court Hotel']"
7217166782589570331,"['Trusty Congee King', 'Star Ferry Pier', 'Hong Kong Cultural Centre', 'Avenue Of Stars', 'K11 MUSEA', 'MOMA', 'Tung Choi St', 'Fa Yuen Street Market']"
7217359789226069274,"['Sister Wah Beef Brisket', 'Montane Mansion', 'Choi Hung Estate', 'Hong Kong Museum of History', 'The Peninsula', 'Mon Kee Café', 'Kowloon Centre', 'Mong Kok', 'Central', 'Wan Chai']"
7217371189512031514,"[""Megan's Kitchen"", 'Milksha', 'Kapok', 'Blue Bottle Coffee', 'Sau Wa Fong', 'Rainbow Stairs', 'ifc mall']"
7217394009449221382,"['Ngong Ping Village', 'Lantau Island', 'Po Lin Monastery', 'Yaumatei Tin Hau Temple', 'Central', 'Victoria Harbour', 'Hong Kong Disneyland']"
7217404334827408667,"['Dorsett Wanchai', ""Kam's Roast Goose"", 'Po Wah Commercial Centre', 'Victoria Harbour', 'Trusty Congee King', 'Star Ferry Pier', 'Avenue Of Stars', 'K11 MUSEA', 'MOMA', 'Hong Kong Cultural Centre', 'Tung Choi St', 'Fa Yuen Street Market', 'Jordan', 'Sister Wah Beef Brisket', 'Montane Mansion', 'Choi Hung Estate', 'Hong Kong Museum of History', 'Kowloon Centre', 'Mon Kee Café', ""Megan's Kitchen"", 'Milksha', 'Kapok', 'Blue Bottle Coffee', 'Sau Wa Fong', 'ifc mall']"
7217431589641374978,"['Tsim Sha Tsui', 'Hashtag B', 'SHARI SHARI Kakigori House', 'Kamcentre Roast Goose', 'Yee Shun Milk Company']"
7217807778189020418,"['Victoria Peak', 'Lan Fong Yuen']"
7218015362963541254,"['Hong Kong Disneyland', 'Sunny Bay Station', 'Main Street Bakery', 'Royal Banquet Hall']"
7218048747362602245,"['Central', 'Stone Slab Street']"
7218437904719203589,"['Hong Kong International Airport', 'The Peninsula', 'Hong Kong Convention and Exhibition Centre', 'Clock Tower', 'Temple St']"
7218737046058257670,"['Hong Kong International Airport', 'Tsing Ma Bridge', 'Tai Po', 'Cheung Chau', 'Attitude on Granville']"
7219366862184811777,"['Hong Kong International Airport', 'North Point']"
7219471376153955590,"['Jordan Station', 'Sunny Bay Station', 'Hong Kong International Airport']"
7220021129950399750,"['Hong Kong Disneyland', 'Victoria Park']"
7220222944365071621,"['Hong Kong International Airport', 'Sai Ying Pun Station', 'Sun Yat Sen Memorial Park', 'The Peak Tram', 'Hong Kong Science Museum', 'Madame Tussauds', 'The Peninsula', 'Tsim Sha Tsui']"
7220225156445244678,"['Ngong Ping', 'Lantau Island', 'Ngong Ping 360']"
7220355749648600346,"['Hong Kong Disneyland', 'The Peak Tram', 'M+', 'Ngong Ping', 'Ngong Ping 360', 'Lantau Island', 'Man Mo Temple', 'Xiqu Centre', 'Eyebar']"
7220361240219077890,"['Sun Hing Restaurant', 'Central Market', 'Man Mo Temple', 'Kung Lee Sugar Cane Drink', 'Yat Lok Restaurant']"
7220391423626038571,"['Happy Valley Racecourse', 'Repulse Bay Beach', 'Repulse Bay', 'PMQ']"
7220527389036514566,"['Lan Fong Yuen', 'Hong Kong Disneyland', 'Tsim Sha Tsui', 'Mott 32', 'Ocean Park', 'Hollywood Rd', 'Tian Tan Buddha', 'Citygate Outlets', 'K11 MUSEA']"
7221040503792389402,"['Hong Kong-Zhuhai-Macao Bridge', 'Ngong Ping', 'Tian Tan Buddha']"
7221080913428483330,"['K11 MUSEA', 'Victoria Peak', 'Avenue Of Stars', 'Wong Tai Sin Temple']"
7221149454584352001,"['Ocean Park', 'Hollywood Rd']"
7221250937535401217,"['Observation Wheel', 'The Peak Tram', 'Victoria Peak']"
7221473868001725702,"['Hong Kong International Airport', 'Hong Kong Disneyland']"
7222330568480935169,"['Sheung Wan', 'Harbour City', 'Sham Shui Po', 'HKU Station']"
7222605269124025605,"['Tai O', 'Tai O Rd', 'Tai O Market St', 'Fu Shan Viewing Point', 'Tai Tam Reservoir', 'Sun Ki Bridge', 'Lamma Island']"
7223035259137330459,"['iSQUARE', 'Ocean Park', 'Victoria Peak', 'Hong Kong Disneyland']"
7223685568406834433,"['K11 MUSEA', 'K11 ARTMALL']"
7224148924037188870,"['Victoria Harbour', 'Australia Dairy Company', 'Yat Tung Heen']"
7224286203661569286,"['Times Square', 'Museum of Art', 'K11 MUSEA']"
7224775682730069253,"['Hong Kong International Airport', 'Australia Dairy Company', 'Victoria Harbour']"
7224840829267873029,"['Water World', 'Ocean Park', 'Old Hong Kong', 'Lantau Island', 'Hong Kong Disneyland', 'Madame Tussauds', 'Mott 32', 'Ngong Ping', 'Walking With Buddha', 'Hong Kong International Airport']"
7225146928424701190,"['Hong Kong Zoological and Botanical Gardens', 'Victoria Park', 'Central', 'Observation Wheel']"
7225183790862257413,"['Hong Kong International Airport', 'North Point', 'Victoria Harbour']"
7225244117285145858,"['Avenue Of Stars', 'Tsim Sha Tsui']"
7225629114831555883,"['Hing Kee Restaurant', 'Oi Man Sang']"
7226192491534486811,"['Hong Kong Disneyland', 'Hong Kong Cultural Centre']"
7226726781968059650,"['Diamond Hill Station', 'Victoria Peak', 'Tai Tam Reservoir', 'Tai Mo Shan']"
7227137447694585090,"['Ngong Ping', 'Lantau Island', 'Ngong Ping 360', 'Hong Kong-Zhuhai-Macao Bridge', 'Tsz Shan Monastery', 'Victoria Park']"
7227473718589672730,"['Ngong Ping 360', 'Ngong Ping', 'Lantau Island', 'Tian Tan Buddha', 'Central']"
7227842635124215067,"['The Peak Tram', 'Victoria Peak', ""Kam's Roast Goose"", 'Tsim Sha Tsui', 'Kowloon Park', 'Bakehouse (Wan Chai)', 'Mon Kee Café']"
7228032132059270427,"['Hong Kong Disneyland', 'Grizzly Gulch', 'Tomorrowland']"
7228219187016142081,"['Lantau Island', 'Tai O', ""Dragon's Back"", 'Tai Mo Shan']"
7228222538986360066,"['Kowloon', 'Kowloon Walled City Park', 'Kowloon City', 'K11 MUSEA', 'Wan Chai', 'Bakehouse (Wan Chai)', 'Kau Kee', 'Pa Shih', 'Tai O']"
7228281616056012074,"['Hong Kong International Airport', 'Hong Kong Disneyland', 'Lantau Island']"
7228535411637783814,"['Cheung Hing Kee Shanghai Pan Fried Buns', 'Man Mo Temple', 'Lantau Island', 'Hong Kong Disneyland', 'Hong Kong International Airport', 'Halfway Coffee']"
7228582251682876715,"['Victoria Peak', 'Shek O Peak', 'Tai Mo Shan']"
7228763963326991658,"['Observation Wheel', 'Hong Kong International Airport', 'Tsing Ma Bridge']"
7228848621343526150,"['Monster Building', 'Tai Kwun', 'Choi Hung Estate', 'Dragon Centre']"
7228949842050043141,"['Hong Kong Disneyland', 'East Tsim Sha Tsui', 'Tsing Yi']"
7228967929440767250,"['Causeway Bay', 'Apt. Coffee Wanchai', 'Wan Chai Rd']"
7229144963005664539,"['Hong Kong Disneyland', 'The Peninsula']"
7229629795636759813,"['Hong Kong Disneyland', 'Monster Building', 'Lan Kwai Fong', 'Kwai Fong', 'Ngong Ping', 'Choi Hung Estate', 'Man Mo Temple']"
